,unique_id,name,type,start_date,end_date,area_acres,latitude,longitude,centroid
0,Land_land protection_protection by TNC,Northern Sierra Project Area Easement,TNC Easement,2020-03-13,2100-01-01,977.6441393728046,39.403728007027425,-120.26977919334797,POINT (-23214.592897884777 154240.9556325134)
1,Land_land protection_protection by TNC,Nobmann Ranch,TNC Fee,2020-03-12,2100-01-01,324.3585006712176,40.058676299885384,-122.06184695684523,POINT (-175830.22860009116 228888.3249554485)
2,Land_land protection_protection by TNC,Beard Ranch,TNC Fee,2020-07-09,2100-01-01,5505.544460542277,35.32456635023771,-118.58615290485956,POINT (128420.71956660588 -298189.40330994735)
3,Land_land protection_protection by TNC,Chicago Valley,TNC Fee,2020-09-16,2100-01-01,39.82450233683081,36.002578235801245,-116.19298275230267,POINT (342690.45675709785 -216948.47345218062)
4,Land_land protection_protection by TNC,Bear Mountain Ranch,TNC Fee,2020-09-30,2100-01-01,3164.332279798883,35.21320903310966,-118.63035125497984,POINT (124585.07450219576 -310613.78140063677)
5,Land_land protection_protection by TNC,Tenaja Corridor (Stevenson),TNC Historic,2020-11-12,2100-01-01,19.418854764563363,33.50169772893036,-117.32152492520267,POINT (248978.26825311407 -497906.82837523706)
6,Land_land protection_protection by TNC,Chicago Valley,TNC Fee,2021-01-29,2100-01-01,913.3993378679041,36.00700396194374,-116.18181573360863,POINT (343675.3204746935 -216416.70802360587)
7,Land_land protection_protection by TNC,Tenaja Corridor (Lafleur),TNC Historic,2021-03-18,2100-01-01,20.06173665179719,33.50558933744008,-117.31895129074545,POINT (249205.2387680326 -497468.8231833684)
8,Land_land protection_protection by TNC,Rising River Preserve,TNC Fee,2021-11-22,2100-01-01,933.6869621306824,40.90713472339472,-121.53319912728766,POINT (-129229.20238682831 322238.5896981992)
9,Land_land protection_protection by TNC,Jack and Laura Dangermond Conservation Foundation Parcel,TNC Historic,2021-02-12,2100-01-01,93.95058972618504,34.46126881005262,-120.44716364245568,POINT (-41069.34742609152 -394892.3446012195)
10,Land_land protection_protection by TNC,Wells Ranch,TNC Fee,2021-02-26,2100-01-01,1439.1542359722316,35.22409237420644,-118.58287709744228,POINT (128885.00755754538 -309341.8344100453)
11,Land_land protection_protection by TNC,Kerr Ranch,TNC Fee,2021-03-19,2100-01-01,635.6143001107989,35.20273173486738,-118.60061996236836,POINT (127306.4498069178 -311737.644029615)
12,Land_land protection_protection by TNC,Tenaja Corridor - KS California Land,TNC Historic,2021-08-19,2100-01-01,19.914063463164428,33.502930803593316,-117.31777577502064,POINT (249322.81069718732 -497760.33405318763)
13,Land_land protection_protection by TNC,Tenaja Corridor - Schumacher,TNC Historic,2021-08-19,2100-01-01,51.766676306252336,33.50610491497156,-117.34579795743902,POINT (246708.8870994426 -497481.90775237046)
14,Land_land protection_protection by TNC,Chicago Valley,TNC Fee,2021-11-16,2100-01-01,79.51852423983618,35.997162790922076,-116.17085253151564,POINT (344705.73343247984 -217469.4355298658)
15,Land_land protection_protection by TNC,Loop Ranch,TNC Fee,2021-12-28,2100-01-01,28106.57789122857,35.220071025603986,-118.49628576171959,POINT (136766.7883497857 -309667.0027062022)
16,Land_land protection_protection by TNC,Gilbraith,TNC Fee,2022-01-31,2100-01-01,38.97320979549664,35.36288336017741,-118.43643217556038,POINT (141948.60541573912 -293720.86680368474)
17,Land_land protection_protection by TNC,Northern Sierra Project Area Easement,TNC Easement,2022-01-18,2100-01-01,80.51244578046607,39.393313209747376,-120.26819791370501,POINT (-23081.786382342547 153083.2113903719)
18,Land_land protection_protection by TNC,Douglas Ranch,TNC Fee,2022-03-17,2100-01-01,335.16579015484905,35.26397166225329,-118.52687102206971,POINT (133909.46040516454 -304836.0187404547)
19,Land_land protection_protection by TNC,Douglas Ranch,TNC Fee,2022-03-17,2100-01-01,4240.437165269151,35.299769860568816,-118.53918695941128,POINT (132728.76382833457 -300878.2320609889)
20,Land_land protection_protection by TNC,Gray Ranch,TNC Fee,2022-04-13,2100-01-01,38.527529875504264,39.51798223599777,-123.72237214416312,POINT (-319737.76272148604 173181.4588834052)
21,Land_land protection_protection by TNC,B & C Ranch,TNC Fee,2022-04-28,2100-01-01,4682.336816177664,35.38137972239953,-118.77151468748279,POINT (111503.44199346843 -292114.86161951255)
22,Land_land protection_protection by partners,Carpenter Valley 2 (SPI),TNC Assist,2020-03-13,2100-01-01,1292.032950914756,39.39511333612456,-120.30090381534512,POINT (-25895.96609001306 153291.6994966888)
23,Land_land protection_protection by partners,Frog Lake,TNC Assist,2020-06-16,2100-01-01,678.1584196735181,39.36673179194284,-120.3186305115953,POINT (-27432.14284235922 150142.7260508244)
24,Land_land protection_protection by partners,WELSH,TNC Assist,2020-10-02,2100-01-01,19.323034346428376,33.50096143656273,-117.31541994287389,POINT (249547.91573696982 -497972.3674600888)
25,Land_land protection_protection by partners,Bains - Hamilton City (fee),TNC Assist,2021-03-17,2100-01-01,182.74977822025355,39.737830613950926,-121.9916380974404,POINT (-170592.49101224486 193123.9302241942)
26,Land_land protection_protection by partners,Bains - Hamilton City (easement),TNC Assist,2021-03-17,2100-01-01,13.445185046969895,39.73729667106161,-121.99528382907961,POINT (-170905.96501828675 193071.18566299975)
27,Land_land protection_protection by partners,Stoddard,TNC Assist,2021-11-23,2100-01-01,56.002077485597255,33.50263809569114,-117.30108413208497,POINT (250874.86213995723 -497748.73550618347)
